drones,cells_per_drone,total_unique_cells,covered_probability,global_relaxation_bound,fraction_of_global_bound,candidate_gap,runtime_seconds,status
1,100,100,0.021284242416105863,0.02130060505456056,0.9992318228326009,0.0,0.054821999998239335,OPTIMAL (enriched candidate library)
2,100,200,0.04178568413779258,0.04184377738859642,0.9986116633241704,4.9638391916854845e-12,26.315491200002725,OPTIMAL (enriched candidate library)
4,100,400,0.08035679405098368,0.08077329201684437,0.9948436177917098,2.0309768022392505e-13,25.333677299997362,OPTIMAL (enriched candidate library)
8,100,800,0.15098334519310494,0.15285988711782664,0.987723777898153,5.928215468419562e-12,25.24440030000551,OPTIMAL (enriched candidate library)
1,300,300,0.06152349491317387,0.06165826475930282,0.9978142452328969,0.0,0.12283009999373462,OPTIMAL (enriched candidate library)
2,300,600,0.11405152965030578,0.11749690215524702,0.9706769077163505,0.0,16.50488420000329,OPTIMAL (enriched candidate library)
4,300,1200,0.2169765098404316,0.22010174877740502,0.9858009354567462,0.0,38.01335030000337,OPTIMAL (enriched candidate library)
8,300,2400,0.39191811348088856,0.40320898390246934,0.9719974730912447,2.842708124194306e-13,38.77444649999961,OPTIMAL (enriched candidate library)
